iter	Logloss
0	0.6593537394
1	0.6278062008
2	0.6002668247
3	0.5738074149
4	0.5510447267
5	0.5292179214
6	0.5043724235
7	0.4836621763
8	0.4650267039
9	0.4513324595
10	0.4371743235
11	0.4239763942
12	0.4132839993
13	0.4014250819
14	0.3910635333
15	0.380412153
16	0.3698104813
17	0.3610882271
18	0.3533594042
19	0.3469679344
20	0.3394867729
21	0.3340190944
22	0.3286610531
23	0.3225869582
24	0.3173118359
25	0.3127532505
26	0.3090143549
27	0.3050923038
28	0.3021004508
29	0.2987866915
30	0.2959933684
31	0.2927056316
32	0.2897959426
33	0.2879768971
34	0.2856208683
35	0.2820436646
36	0.2804635715
37	0.2784380046
38	0.2766317227
39	0.2740108591
40	0.2723449617
41	0.2704095207
42	0.2688494717
43	0.2676608527
44	0.2660823003
45	0.2645528167
46	0.2631080435
47	0.2617293143
48	0.260676711
49	0.2594682715
50	0.2585895137
51	0.2575148995
52	0.2564608064
53	0.2552659617
54	0.2543708364
55	0.2535427543
56	0.2526221898
57	0.2518561916
58	0.2508442853
59	0.2494302165
60	0.2485151506
61	0.247977717
62	0.2473047443
63	0.2465824564
64	0.2461629818
65	0.2455608828
66	0.244694901
67	0.2441721304
68	0.2430679694
69	0.2425849177
70	0.2420877765
71	0.2414385952
72	0.2408950198
73	0.2398780173
74	0.2390691032
75	0.2387053764
76	0.2378864429
77	0.2374006252
78	0.2370206502
79	0.2366554727
80	0.2363797391
81	0.2360342221
82	0.2355083918
83	0.2350944998
84	0.2347972937
85	0.2345177005
86	0.234116249
87	0.2338802506
88	0.2334730321
89	0.2331693883
90	0.2328709986
91	0.2324341308
92	0.2319831739
93	0.2313956028
94	0.2310701508
95	0.2307334515
96	0.2304723229
97	0.2299347607
98	0.2295836627
99	0.2292916762
100	0.2289567544
101	0.2286827626
102	0.2281905827
103	0.2278409321
104	0.2275233434
105	0.227384399
106	0.2271702541
107	0.2267558547
108	0.2264198266
109	0.2261015502
110	0.2258267802
111	0.2256461502
112	0.2253621071
113	0.2251330069
114	0.2248404255
115	0.2246267483
116	0.2244126217
117	0.2241934469
118	0.2239455482
119	0.2237613194
120	0.2235465739
121	0.2234055807
122	0.2231149889
123	0.2227975995
124	0.2225914779
125	0.2224204485
126	0.2220716902
127	0.2218551959
128	0.221606091
129	0.2214428011
130	0.2212308435
131	0.2210537213
132	0.2207332563
133	0.2205461886
134	0.220176254
135	0.2198794121
136	0.2196035153
137	0.2191806221
138	0.2189739651
139	0.2187632747
140	0.2186114927
141	0.2182895861
142	0.2180960285
143	0.2179311664
144	0.2176345359
145	0.2175103674
146	0.2173655119
147	0.2171000498
148	0.2169611014
149	0.2168367132
150	0.216693629
151	0.2165654579
152	0.2163429792
153	0.2161216263
154	0.2159377283
155	0.2158166497
156	0.2155627814
157	0.2154694985
158	0.2152551441
159	0.2149282521
160	0.2147988762
161	0.2146534091
162	0.2144177297
163	0.2142065034
164	0.2138305604
165	0.2136430024
166	0.2134637997
167	0.2132838208
168	0.2131697373
169	0.2129111087
170	0.2127565289
171	0.2126514882
172	0.2124216413
173	0.2122656725
174	0.2121009281
175	0.2119639954
176	0.2118682239
177	0.2116852281
178	0.2115557546
179	0.2114615665
180	0.2112585138
181	0.2111269951
182	0.2109517156
183	0.2108130562
184	0.2106772389
185	0.2105093872
186	0.2103867451
187	0.2102546433
188	0.2101191512
189	0.2099573694
190	0.2098491716
191	0.2097287908
192	0.2096265259
193	0.2094933239
194	0.2093250321
195	0.2092162163
196	0.2091252955
197	0.2089618845
198	0.2088135648
199	0.2086802488
200	0.2084647584
201	0.2082452529
202	0.2081663095
203	0.2080619767
204	0.2079519022
205	0.2077742999
206	0.2076751758
207	0.2075057089
208	0.2074013359
209	0.2072776263
210	0.2071231383
211	0.2068299501
212	0.2067500749
213	0.2066087466
214	0.2065460113
215	0.2064121235
216	0.2063039189
217	0.2062221994
218	0.2060858483
219	0.2059176289
220	0.2058325124
221	0.205641595
222	0.205521954
223	0.2053453098
224	0.2052735023
225	0.2051731608
226	0.2049574545
227	0.2048931514
228	0.2047726186
229	0.2046802384
230	0.2046126292
231	0.2045220073
232	0.2043784542
