iter	Passed	Remaining
0	182	182555
1	193	96548
2	201	66887
3	212	53031
4	224	44651
5	235	39032
6	247	35054
7	260	32352
8	272	29963
9	285	28228
10	296	26687
11	313	25817
12	324	24637
13	339	23888
14	356	23421
15	371	22848
16	383	22172
17	397	21699
18	409	21119
19	422	20710
20	433	20223
21	448	19946
22	462	19653
23	475	19321
24	486	18992
25	500	18753
26	516	18600
27	528	18346
28	539	18055
29	555	17956
30	573	17937
31	585	17705
32	601	17620
33	614	17468
34	629	17345
35	643	17234
36	659	17169
37	670	16976
38	685	16896
39	697	16732
40	709	16585
41	723	16508
42	738	16424
43	750	16303
44	762	16184
45	775	16089
46	787	15957
47	798	15827
48	810	15739
49	821	15613
50	834	15528
51	846	15430
52	857	15327
53	869	15227
54	883	15177
55	894	15071
56	906	15003
57	925	15025
58	945	15079
59	965	15133
60	981	15114
61	997	15092
62	1011	15045
63	1026	15010
64	1040	14960
65	1052	14892
66	1067	14862
67	1079	14795
68	1100	14855
69	1117	14848
70	1135	14853
71	1147	14784
72	1162	14756
73	1176	14717
74	1187	14650
75	1200	14591
76	1212	14537
77	1225	14481
78	1236	14410
79	1247	14350
80	1263	14340
81	1280	14336
82	1291	14273
83	1304	14230
84	1316	14168
85	1327	14106
86	1342	14093
87	1356	14062
88	1368	14009
89	1381	13972
90	1394	13932
91	1407	13890
92	1426	13909
93	1441	13892
94	1456	13878
95	1477	13910
96	1491	13881
97	1509	13897
98	1525	13887
99	1549	13941
100	1566	13946
101	1580	13912
102	1595	13896
103	1613	13896
104	1625	13856
105	1644	13866
106	1655	13818
107	1669	13786
108	1682	13756
109	1695	13714
110	1706	13665
111	1718	13625
112	1731	13588
113	1744	13556
114	1755	13509
115	1767	13466
116	1778	13421
117	1789	13378
118	1802	13343
119	1816	13322
120	1830	13297
121	1842	13259
122	1855	13228
123	1867	13193
124	1881	13171
125	1893	13136
126	1907	13110
127	1920	13086
128	1935	13070
129	1951	13059
130	1963	13024
131	1976	12994
132	1987	12955
133	2000	12929
134	2012	12895
135	2031	12907
136	2042	12867
137	2053	12829
138	2065	12796
139	2077	12763
140	2093	12751
141	2110	12754
142	2122	12722
143	2136	12697
144	2156	12714
145	2167	12677
146	2180	12651
147	2192	12623
148	2207	12605
149	2219	12576
150	2233	12560
151	2245	12527
152	2260	12513
153	2273	12487
154	2285	12458
155	2305	12471
156	2323	12473
157	2337	12455
158	2352	12441
159	2363	12408
160	2376	12386
161	2392	12376
162	2404	12346
163	2416	12319
164	2427	12286
165	2441	12264
166	2454	12244
167	2465	12212
168	2477	12180
169	2488	12151
170	2502	12130
171	2520	12133
172	2537	12129
173	2553	12121
174	2596	12238
175	2620	12268
176	2647	12311
177	2671	12336
178	2687	12324
179	2703	12317
180	2719	12305
181	2735	12295
182	2751	12285
183	2763	12255
184	2777	12238
185	2794	12228
186	2808	12210
187	2824	12198
188	2841	12190
189	2856	12179
190	2869	12156
191	2887	12150
192	2901	12131
193	2914	12107
194	2929	12092
195	2948	12094
196	2959	12063
197	2973	12045
198	2986	12022
199	3000	12001
200	3016	11989
201	3028	11963
202	3045	11958
203	3061	11944
204	3084	11960
205	3095	11930
206	3107	11906
207	3121	11884
208	3136	11871
209	3147	11842
210	3162	11827
211	3175	11802
212	3187	11777
213	3202	11761
214	3215	11741
215	3230	11724
216	3241	11696
217	3258	11690
218	3279	11695
219	3307	11724
220	3324	11718
221	3338	11699
222	3355	11693
223	3375	11693
224	3389	11673
225	3400	11645
226	3414	11627
227	3427	11605
228	3442	11591
229	3454	11566
230	3471	11556
231	3484	11535
232	3497	11513
233	3510	11492
234	3530	11493
235	3544	11474
236	3559	11459
237	3571	11435
238	3586	11418
